,account number,name,sku,quantity,unit price,ext price,date,status
288,383080,Will LLC,S1-93683,45,56.61,2547.45,2014-01-13 02:41:46,bronze
289,218895,Kulas Inc,S1-47412,1,94.01,94.01,2014-01-13 08:36:18,bronze
290,412290,Jerde-Hilpert,S2-77896,12,42.93,515.16,2014-01-13 13:19:20,bronze
291,141962,Herman LLC,B1-53636,4,18.72,74.88,2014-01-13 20:50:52,gold
292,672390,Kuhn-Gusikowski,S2-23246,25,22.76,569.0,2014-01-13 23:16:56,silver
293,257198,"Cronin, Oberbrunner and Spencer",B1-05914,8,23.05,184.4,2014-01-14 01:57:35,gold
294,424914,White-Trantow,S2-10342,4,20.67,82.68,2014-01-14 15:07:18,silver
295,412290,Jerde-Hilpert,B1-04202,42,86.4,3628.8,2014-01-14 15:18:51,bronze
296,141962,Herman LLC,S2-00301,22,48.85,1074.7,2014-01-14 23:01:56,gold
297,688981,Keeling LLC,S2-16558,11,83.56,919.16,2014-01-15 06:52:09,silver
298,412290,Jerde-Hilpert,S2-10342,6,69.92,419.52,2014-01-15 08:32:25,bronze
299,672390,Kuhn-Gusikowski,S1-30248,12,36.53,438.36,2014-01-15 09:12:52,silver
300,307599,"Kassulke, Ondricka and Metz",B1-20000,22,37.87,833.14,2014-01-15 16:22:22,bronze
301,141962,Herman LLC,S1-82801,2,12.1,24.2,2014-01-15 17:49:48,gold
302,412290,Jerde-Hilpert,S2-16558,16,80.93,1294.88,2014-01-16 05:51:27,bronze
303,424914,White-Trantow,B1-38851,47,86.32,4057.04,2014-01-16 06:57:05,silver
304,141962,Herman LLC,B1-33364,16,13.34,213.44,2014-01-16 09:21:22,gold
305,737550,"Fritsch, Russel and Anderson",S2-77896,41,38.43,1575.63,2014-01-16 22:39:11,bronze
306,672390,Kuhn-Gusikowski,B1-65551,17,50.83,864.11,2014-01-17 05:37:56,silver
307,218895,Kulas Inc,S1-93683,43,21.72,933.96,2014-01-17 16:18:29,bronze
308,714466,Trantow-Barrows,B1-04202,16,91.09,1457.44,2014-01-17 18:01:31,silver
309,604255,"Halvorson, Crona and Champlin",B1-65551,34,62.86,2137.24,2014-01-17 19:00:16,bronze
310,424914,White-Trantow,B1-53636,44,33.07,1455.08,2014-01-18 01:09:27,silver
311,737550,"Fritsch, Russel and Anderson",S2-82423,13,24.98,324.74,2014-01-18 06:32:00,bronze
312,307599,"Kassulke, Ondricka and Metz",S2-10342,44,96.79,4258.76,2014-01-18 06:32:31,bronze
313,146832,Kiehn-Spinka,S1-93683,26,52.07,1353.82,2014-01-18 10:21:51,silver
314,383080,Will LLC,S2-83881,35,93.37,3267.95,2014-01-18 11:01:58,bronze
315,146832,Kiehn-Spinka,S1-50961,39,17.72,691.08,2014-01-18 11:34:38,silver
316,383080,Will LLC,S2-77896,14,23.95,335.3,2014-01-18 12:28:26,bronze
317,714466,Trantow-Barrows,S2-23246,49,73.5,3601.5,2014-01-18 18:30:58,silver
318,146832,Kiehn-Spinka,S1-30248,1,31.17,31.17,2014-01-18 22:26:11,silver
319,527099,Sanford and Sons,S1-47412,27,77.69,2097.63,2014-01-18 23:43:24,bronze
320,642753,Pollich LLC,S1-50961,3,20.27,60.81,2014-01-19 00:12:32,bronze
321,604255,"Halvorson, Crona and Champlin",S1-27722,34,88.99,3025.66,2014-01-19 10:16:20,bronze
322,729833,Koepp Ltd,S2-00301,9,56.32,506.88,2014-01-19 10:34:41,silver
323,786968,"Frami, Hills and Schmidt",S1-27722,18,33.64,605.52,2014-01-19 11:45:51,silver
324,786968,"Frami, Hills and Schmidt",B1-33087,22,79.82,1756.04,2014-01-19 21:53:06,silver
325,412290,Jerde-Hilpert,S1-82801,16,18.96,303.36,2014-01-19 22:40:09,bronze
326,688981,Keeling LLC,B1-53102,13,64.38,836.94,2014-01-20 00:00:21,silver
327,740150,Barton LLC,B1-50809,8,19.6,156.8,2014-01-20 01:48:47,gold
328,672390,Kuhn-Gusikowski,S1-27722,3,36.97,110.91,2014-01-20 02:29:57,silver
329,141962,Herman LLC,S2-34077,44,90.23,3970.12,2014-01-20 07:27:00,gold
330,218895,Kulas Inc,S2-83881,41,78.27,3209.07,2014-01-20 09:37:58,bronze
331,383080,Will LLC,B1-33364,26,90.19,2344.94,2014-01-20 09:39:59,bronze
332,604255,"Halvorson, Crona and Champlin",S2-11481,37,96.71,3578.27,2014-01-20 13:07:28,bronze
333,740150,Barton LLC,B1-53102,1,68.06,68.06,2014-01-20 13:27:52,gold
334,527099,Sanford and Sons,B1-05914,18,64.32,1157.76,2014-01-20 21:40:58,bronze
335,383080,Will LLC,B1-53636,37,14.4,532.8,2014-01-20 22:18:21,bronze
336,714466,Trantow-Barrows,S2-77896,48,37.8,1814.4,2014-01-21 05:05:38,silver
337,218895,Kulas Inc,S2-16558,20,57.96,1159.2,2014-01-21 18:16:45,bronze
338,740150,Barton LLC,S2-16558,2,90.91,181.82,2014-01-21 21:21:01,gold
339,383080,Will LLC,B1-33364,43,81.07,3486.01,2014-01-21 23:08:01,bronze
340,688981,Keeling LLC,B1-65551,22,22.03,484.66,2014-01-22 00:09:56,silver
341,740150,Barton LLC,B1-86481,20,30.41,608.2,2014-01-22 16:33:51,gold
342,786968,"Frami, Hills and Schmidt",S2-34077,16,14.01,224.16,2014-01-22 17:01:44,silver
343,737550,"Fritsch, Russel and Anderson",B1-53102,34,99.48,3382.32,2014-01-22 22:00:08,bronze
344,218895,Kulas Inc,S1-93683,21,49.59,1041.39,2014-01-22 23:49:39,bronze
345,729833,Koepp Ltd,S2-11481,42,68.76,2887.92,2014-01-23 02:37:44,silver
346,729833,Koepp Ltd,B1-05914,46,43.84,2016.64,2014-01-23 20:40:21,silver
347,740150,Barton LLC,S1-06532,10,65.87,658.7,2014-01-24 00:00:35,gold
348,163416,Purdy-Kunde,S1-47412,31,54.32,1683.92,2014-01-24 04:14:33,bronze
349,424914,White-Trantow,S2-78676,39,21.9,854.1,2014-01-24 08:40:53,silver
350,527099,Sanford and Sons,S1-82801,38,78.91,2998.58,2014-01-24 14:15:55,bronze
351,218895,Kulas Inc,B1-86481,37,95.87,3547.19,2014-01-24 21:42:25,bronze
352,257198,"Cronin, Oberbrunner and Spencer",S2-16558,41,23.35,957.35,2014-01-25 23:53:42,gold
353,642753,Pollich LLC,S2-83881,43,13.83,594.69,2014-01-26 07:13:58,bronze
354,672390,Kuhn-Gusikowski,B1-33087,18,90.34,1626.12,2014-01-26 08:34:03,silver
355,239344,Stokes LLC,S2-82423,34,92.67,3150.78,2014-01-26 12:10:58,gold
356,163416,Purdy-Kunde,B1-05914,35,85.87,3005.45,2014-01-26 20:08:00,bronze
357,737550,"Fritsch, Russel and Anderson",B1-65551,49,19.14,937.86,2014-01-27 01:59:54,bronze
358,412290,Jerde-Hilpert,S2-16558,27,11.77,317.79,2014-01-27 02:45:03,bronze
359,740150,Barton LLC,S1-47412,27,36.12,975.24,2014-01-27 05:48:37,gold
360,141962,Herman LLC,B1-05914,30,80.49,2414.7,2014-01-27 07:26:02,gold
361,141962,Herman LLC,S2-82423,40,50.87,2034.8,2014-01-27 15:18:08,gold
362,688981,Keeling LLC,S2-83881,35,29.14,1019.9,2014-01-28 06:50:30,silver
363,412290,Jerde-Hilpert,S2-23246,28,30.67,858.76,2014-01-28 08:27:19,bronze
364,688981,Keeling LLC,S1-65481,26,30.06,781.56,2014-01-28 10:44:14,silver
365,424914,White-Trantow,S2-16558,42,68.86,2892.12,2014-01-28 15:12:03,silver
366,737550,"Fritsch, Russel and Anderson",S1-65481,47,45.71,2148.37,2014-01-28 15:49:45,bronze
367,740150,Barton LLC,B1-33364,6,24.64,147.84,2014-01-28 16:28:29,gold
368,604255,"Halvorson, Crona and Champlin",S2-83881,25,50.24,1256.0,2014-01-30 03:09:55,bronze
369,412290,Jerde-Hilpert,B1-53636,42,57.33,2407.86,2014-01-30 11:14:52,bronze
370,688981,Keeling LLC,B1-04202,27,98.66,2663.82,2014-01-30 22:54:49,silver
371,383080,Will LLC,S2-11481,17,67.71,1151.07,2014-01-30 23:25:46,bronze
372,737550,"Fritsch, Russel and Anderson",S1-50961,1,34.81,34.81,2014-01-30 23:56:20,bronze
373,146832,Kiehn-Spinka,B1-53636,33,93.07,3071.31,2014-01-31 02:53:16,silver
374,729833,Koepp Ltd,S2-16558,24,27.12,650.88,2014-01-31 19:43:49,silver
375,383080,Will LLC,B1-05914,43,80.17,3447.31,2014-01-31 22:51:18,bronze
376,383080,Will LLC,B1-20000,7,33.69,235.83,2014-02-01 09:04:59,bronze
377,412290,Jerde-Hilpert,S1-27722,11,21.12,232.32,2014-02-01 11:51:46,bronze
378,412290,Jerde-Hilpert,B1-86481,3,35.99,107.97,2014-02-01 17:24:32,bronze
379,412290,Jerde-Hilpert,B1-20000,23,78.9,1814.7,2014-02-01 19:56:48,bronze
380,672390,Kuhn-Gusikowski,S1-06532,48,55.82,2679.36,2014-02-02 03:45:20,silver
381,383080,Will LLC,S1-82801,21,13.62,286.02,2014-02-02 12:45:50,bronze
382,714466,Trantow-Barrows,S1-06532,9,92.55,832.95,2014-02-02 17:40:58,silver
383,239344,Stokes LLC,S1-47412,44,78.91,3472.04,2014-02-02 19:58:26,gold
384,672390,Kuhn-Gusikowski,S1-27722,36,25.42,915.12,2014-02-03 01:28:04,silver
385,307599,"Kassulke, Ondricka and Metz",S1-27722,32,95.66,3061.12,2014-02-03 11:27:34,bronze
386,642753,Pollich LLC,B1-33087,23,22.55,518.65,2014-02-04 03:53:52,bronze
387,642753,Pollich LLC,B1-33364,3,72.3,216.9,2014-02-04 05:19:52,bronze
388,688981,Keeling LLC,B1-20000,-1,72.18,-72.18,2014-02-04 07:43:51,silver
389,163416,Purdy-Kunde,B1-05914,33,16.83,555.39,2014-02-04 19:29:41,bronze
390,257198,"Cronin, Oberbrunner and Spencer",S1-30248,23,13.42,308.66,2014-02-04 19:52:57,gold
391,737550,"Fritsch, Russel and Anderson",S1-47412,40,51.01,2040.4,2014-02-05 01:20:40,bronze
392,383080,Will LLC,B1-53102,26,41.88,1088.88,2014-02-05 06:16:34,bronze
393,729833,Koepp Ltd,S1-30248,14,19.96,279.44,2014-02-05 16:03:30,silver
394,714466,Trantow-Barrows,B1-86481,31,62.07,1924.17,2014-02-05 19:18:37,silver
395,424914,White-Trantow,S1-47412,43,46.49,1999.07,2014-02-05 22:45:45,silver
396,218895,Kulas Inc,B1-20000,10,90.8,908.0,2014-02-06 04:02:47,bronze
397,714466,Trantow-Barrows,S2-11481,45,24.38,1097.1,2014-02-06 15:31:06,silver
398,141962,Herman LLC,B1-50809,9,46.02,414.18,2014-02-06 15:56:29,gold
399,218895,Kulas Inc,S1-06532,36,59.4,2138.4,2014-02-06 20:06:01,bronze
400,740150,Barton LLC,S1-93683,21,10.34,217.14,2014-02-07 08:34:50,gold
401,737550,"Fritsch, Russel and Anderson",S1-06532,34,18.69,635.46,2014-02-07 09:22:02,bronze
402,239344,Stokes LLC,B1-53102,5,76.65,383.25,2014-02-07 21:52:50,gold
403,239344,Stokes LLC,B1-53636,6,98.83,592.98,2014-02-07 22:34:18,gold
404,412290,Jerde-Hilpert,S1-82801,40,23.24,929.6,2014-02-08 01:14:38,bronze
405,424914,White-Trantow,B1-53102,20,67.22,1344.4,2014-02-08 04:18:29,silver
406,714466,Trantow-Barrows,B1-05914,33,43.11,1422.63,2014-02-08 10:34:27,silver
407,146832,Kiehn-Spinka,S2-23246,29,82.52,2393.08,2014-02-08 17:55:04,silver
408,424914,White-Trantow,S2-34077,6,52.48,314.88,2014-02-08 23:53:59,silver
409,239344,Stokes LLC,B1-53636,37,79.34,2935.58,2014-02-09 01:22:46,gold
410,257198,"Cronin, Oberbrunner and Spencer",S1-82801,46,25.66,1180.36,2014-02-09 05:16:26,gold
411,141962,Herman LLC,B1-33087,27,31.42,848.34,2014-02-09 21:13:27,gold
412,604255,"Halvorson, Crona and Champlin",S2-83881,19,82.23,1562.37,2014-02-09 22:04:34,bronze
413,163416,Purdy-Kunde,S1-06532,49,17.88,876.12,2014-02-10 05:46:15,bronze
414,412290,Jerde-Hilpert,S2-34077,-1,37.88,-37.88,2014-02-10 07:12:37,bronze
415,688981,Keeling LLC,B1-69924,5,49.93,249.65,2014-02-10 10:25:15,silver
416,604255,"Halvorson, Crona and Champlin",B1-38851,46,70.65,3249.9,2014-02-10 17:26:42,bronze
417,412290,Jerde-Hilpert,S2-23246,3,73.82,221.46,2014-02-11 02:26:16,bronze
418,383080,Will LLC,B1-53102,45,89.22,4014.9,2014-02-11 04:14:09,bronze
419,604255,"Halvorson, Crona and Champlin",B1-53102,12,47.95,575.4,2014-02-11 04:29:40,bronze
420,604255,"Halvorson, Crona and Champlin",S1-47412,39,13.76,536.64,2014-02-11 08:28:17,bronze
421,257198,"Cronin, Oberbrunner and Spencer",B1-38851,47,42.82,2012.54,2014-02-11 15:33:17,gold
422,163416,Purdy-Kunde,S1-93683,22,10.72,235.84,2014-02-11 17:43:36,bronze
423,257198,"Cronin, Oberbrunner and Spencer",B1-53636,32,42.76,1368.32,2014-02-11 21:35:57,gold
424,740150,Barton LLC,S2-10342,47,96.68,4543.96,2014-02-12 03:36:52,gold
425,740150,Barton LLC,B1-38851,3,79.49,238.47,2014-02-12 05:09:16,gold
426,146832,Kiehn-Spinka,B1-53636,9,13.38,120.42,2014-02-12 13:17:28,silver
427,527099,Sanford and Sons,S2-78676,25,64.82,1620.5,2014-02-12 14:33:26,bronze
428,218895,Kulas Inc,S2-78676,36,65.86,2370.96,2014-02-12 19:46:37,bronze
429,412290,Jerde-Hilpert,S2-78676,19,43.17,820.23,2014-02-13 12:35:26,bronze
430,424914,White-Trantow,S2-83881,42,88.4,3712.8,2014-02-13 18:40:29,silver
431,163416,Purdy-Kunde,S2-16558,40,86.08,3443.2,2014-02-13 18:49:49,bronze
432,714466,Trantow-Barrows,S1-30248,30,71.02,2130.6,2014-02-14 02:16:18,silver
433,257198,"Cronin, Oberbrunner and Spencer",B1-53102,11,86.26,948.86,2014-02-14 13:19:46,gold
434,714466,Trantow-Barrows,S1-93683,25,46.09,1152.25,2014-02-14 18:30:23,silver
435,714466,Trantow-Barrows,S2-77896,34,18.37,624.58,2014-02-14 20:29:47,silver
436,239344,Stokes LLC,S2-83881,30,43.0,1290.0,2014-02-15 02:13:23,gold
437,740150,Barton LLC,B1-20000,28,81.39,2278.92,2014-02-15 07:45:16,gold
438,424914,White-Trantow,S1-93683,9,51.71,465.39,2014-02-15 14:15:43,silver
439,257198,"Cronin, Oberbrunner and Spencer",S1-27722,28,10.21,285.88,2014-02-15 17:27:44,gold
440,146832,Kiehn-Spinka,B1-53102,6,92.89,557.34,2014-02-16 03:32:36,silver
441,218895,Kulas Inc,S2-82423,39,65.73,2563.47,2014-02-16 04:51:11,bronze
442,737550,"Fritsch, Russel and Anderson",S1-27722,15,70.23,1053.45,2014-02-16 18:24:42,bronze
443,424914,White-Trantow,B1-69924,23,95.27,2191.21,2014-02-17 11:25:25,silver
444,740150,Barton LLC,B1-38851,17,81.22,1380.74,2014-02-17 17:12:16,gold
445,672390,Kuhn-Gusikowski,S2-82423,36,79.02,2844.72,2014-02-18 01:44:52,silver
446,141962,Herman LLC,B1-33364,44,25.37,1116.28,2014-02-18 13:55:44,gold
447,424914,White-Trantow,B1-50809,40,30.27,1210.8,2014-02-18 18:12:16,silver
448,424914,White-Trantow,S1-82801,13,43.88,570.44,2014-02-19 07:17:30,silver
449,239344,Stokes LLC,B1-53102,6,66.49,398.94,2014-02-19 07:37:40,gold
450,604255,"Halvorson, Crona and Champlin",S2-11481,8,74.26,594.08,2014-02-19 22:20:21,bronze
451,383080,Will LLC,B1-69924,33,95.39,3147.87,2014-02-20 06:16:53,bronze
452,714466,Trantow-Barrows,S1-65481,2,82.21,164.42,2014-02-20 11:45:25,silver
453,527099,Sanford and Sons,S2-10342,25,88.2,2205.0,2014-02-20 14:31:09,bronze
454,737550,"Fritsch, Russel and Anderson",S2-34077,26,93.35,2427.1,2014-02-20 18:45:43,bronze
455,163416,Purdy-Kunde,B1-65551,9,48.28,434.52,2014-02-21 04:32:17,bronze
456,737550,"Fritsch, Russel and Anderson",S1-93683,31,10.52,326.12,2014-02-21 13:55:45,bronze
457,729833,Koepp Ltd,B1-04202,2,25.98,51.96,2014-02-21 14:08:11,silver
458,257198,"Cronin, Oberbrunner and Spencer",B1-53636,47,50.4,2368.8,2014-02-21 20:25:35,gold
459,786968,"Frami, Hills and Schmidt",B1-20000,28,89.59,2508.52,2014-02-21 22:09:42,silver
460,527099,Sanford and Sons,S1-65481,4,61.28,245.12,2014-02-22 06:43:14,bronze
461,141962,Herman LLC,B1-38851,20,72.88,1457.6,2014-02-22 16:39:09,gold
462,688981,Keeling LLC,B1-38851,40,51.03,2041.2,2014-02-22 17:44:09,silver
463,218895,Kulas Inc,B1-33087,47,59.7,2805.9,2014-02-22 20:44:27,bronze
464,257198,"Cronin, Oberbrunner and Spencer",S1-47412,43,96.8,4162.4,2014-02-23 14:26:24,gold
465,786968,"Frami, Hills and Schmidt",S1-93683,33,48.97,1616.01,2014-02-23 19:12:27,silver
466,257198,"Cronin, Oberbrunner and Spencer",B1-33087,23,58.28,1340.44,2014-02-24 05:24:50,gold
467,737550,"Fritsch, Russel and Anderson",S2-82423,46,67.67,3112.82,2014-02-24 08:35:31,bronze
468,740150,Barton LLC,B1-33087,35,93.25,3263.75,2014-02-25 02:55:39,gold
469,239344,Stokes LLC,S1-82801,43,35.75,1537.25,2014-02-25 07:32:19,gold
470,604255,"Halvorson, Crona and Champlin",B1-86481,9,62.64,563.76,2014-02-25 15:25:38,bronze
471,146832,Kiehn-Spinka,S1-50961,11,35.48,390.28,2014-02-26 02:24:32,silver
472,141962,Herman LLC,B1-69924,21,95.0,1995.0,2014-02-26 19:08:02,gold
473,383080,Will LLC,S2-23246,47,10.93,513.71,2014-02-26 20:41:02,bronze
474,383080,Will LLC,B1-20000,4,35.04,140.16,2014-02-26 23:56:15,bronze
475,672390,Kuhn-Gusikowski,S1-93683,10,34.96,349.6,2014-02-27 02:58:58,silver
476,424914,White-Trantow,S1-93683,-1,25.01,-25.01,2014-02-27 10:32:25,silver
477,383080,Will LLC,S1-93683,41,97.29,3988.89,2014-02-27 14:54:11,bronze
478,714466,Trantow-Barrows,S2-11481,46,39.61,1822.06,2014-02-27 16:12:51,silver
479,740150,Barton LLC,S1-30248,21,14.05,295.05,2014-02-28 02:29:03,gold
480,218895,Kulas Inc,B1-69924,44,72.43,3186.92,2014-02-28 08:42:56,bronze
481,383080,Will LLC,B1-53102,6,32.8,196.8,2014-02-28 17:35:23,bronze
482,688981,Keeling LLC,S2-23246,18,64.71,1164.78,2014-02-28 23:21:04,silver
483,642753,Pollich LLC,B1-04202,8,95.86,766.88,2014-02-28 23:47:32,bronze
484,163416,Purdy-Kunde,S1-30248,19,65.03,1235.57,2014-03-01 16:07:40,bronze
485,527099,Sanford and Sons,S2-82423,3,76.21,228.63,2014-03-01 17:18:01,bronze
486,527099,Sanford and Sons,B1-50809,8,70.78,566.24,2014-03-01 18:53:09,bronze
487,737550,"Fritsch, Russel and Anderson",B1-50809,20,50.11,1002.2,2014-03-01 23:47:17,bronze
488,688981,Keeling LLC,B1-86481,-1,97.16,-97.16,2014-03-02 01:46:44,silver
489,729833,Koepp Ltd,S1-82801,26,50.29,1307.54,2014-03-02 02:59:26,silver
490,307599,"Kassulke, Ondricka and Metz",S1-93683,-1,86.38,-86.38,2014-03-02 03:29:04,bronze
491,412290,Jerde-Hilpert,S2-23246,27,58.87,1589.49,2014-03-02 12:10:30,bronze
492,307599,"Kassulke, Ondricka and Metz",S2-34077,48,53.36,2561.28,2014-03-02 14:12:28,bronze
493,141962,Herman LLC,S2-10342,49,31.39,1538.11,2014-03-02 23:08:02,gold
494,257198,"Cronin, Oberbrunner and Spencer",S2-16558,7,26.21,183.47,2014-03-03 00:29:24,gold
495,257198,"Cronin, Oberbrunner and Spencer",S2-23246,40,49.19,1967.6,2014-03-03 10:17:24,gold
496,688981,Keeling LLC,B1-38851,25,74.68,1867.0,2014-03-03 18:18:54,silver
497,239344,Stokes LLC,S1-82801,41,78.9,3234.9,2014-03-04 01:06:20,gold
498,218895,Kulas Inc,S2-78676,38,89.02,3382.76,2014-03-04 01:17:11,bronze
499,642753,Pollich LLC,S2-10342,40,56.85,2274.0,2014-03-04 01:49:22,bronze
500,737550,"Fritsch, Russel and Anderson",S2-83881,12,63.6,763.2,2014-03-04 15:26:20,bronze
501,146832,Kiehn-Spinka,B1-53636,5,72.16,360.8,2014-03-04 21:18:04,silver
502,412290,Jerde-Hilpert,S2-77896,43,76.66,3296.38,2014-03-04 23:10:28,bronze
503,383080,Will LLC,S1-93683,28,90.86,2544.08,2014-03-05 05:11:49,bronze
504,729833,Koepp Ltd,S1-30248,13,44.84,582.92,2014-03-05 17:33:52,silver
505,424914,White-Trantow,S2-82423,38,50.93,1935.34,2014-03-05 21:40:10,silver
506,672390,Kuhn-Gusikowski,S1-50961,34,48.2,1638.8,2014-03-06 11:59:00,silver
507,239344,Stokes LLC,S2-10342,34,36.93,1255.62,2014-03-06 23:49:16,gold
508,218895,Kulas Inc,S2-34077,30,99.73,2991.9,2014-03-07 05:15:29,bronze
509,672390,Kuhn-Gusikowski,B1-05914,25,89.86,2246.5,2014-03-07 06:25:52,silver
510,740150,Barton LLC,S1-82801,29,60.81,1763.49,2014-03-07 10:24:54,gold
511,218895,Kulas Inc,B1-20000,23,99.57,2290.11,2014-03-07 13:34:00,bronze
512,257198,"Cronin, Oberbrunner and Spencer",S1-30248,14,91.37,1279.18,2014-03-07 16:21:58,gold
513,672390,Kuhn-Gusikowski,S2-83881,26,88.38,2297.88,2014-03-07 20:18:18,silver
514,424914,White-Trantow,B1-53636,44,59.93,2636.92,2014-03-07 21:16:24,silver
515,307599,"Kassulke, Ondricka and Metz",S2-10342,4,12.99,51.96,2014-03-07 23:59:26,bronze
516,383080,Will LLC,B1-20000,45,29.9,1345.5,2014-03-08 01:50:36,bronze
517,527099,Sanford and Sons,S2-82423,44,23.3,1025.2,2014-03-09 00:18:55,bronze
518,146832,Kiehn-Spinka,S2-77896,27,70.76,1910.52,2014-03-09 11:05:47,silver
519,642753,Pollich LLC,B1-05914,15,65.5,982.5,2014-03-09 11:22:09,bronze
520,786968,"Frami, Hills and Schmidt",S1-65481,14,44.67,625.38,2014-03-09 19:13:11,silver
521,527099,Sanford and Sons,S1-82801,35,95.17,3330.95,2014-03-09 19:13:20,bronze
522,257198,"Cronin, Oberbrunner and Spencer",S2-23246,43,87.4,3758.2,2014-03-10 05:39:36,gold
523,527099,Sanford and Sons,B1-65551,6,58.04,348.24,2014-03-10 05:52:17,bronze
524,218895,Kulas Inc,S1-47412,21,94.45,1983.45,2014-03-10 11:02:14,bronze
525,729833,Koepp Ltd,S2-10342,12,93.64,1123.68,2014-03-10 13:08:45,silver
526,412290,Jerde-Hilpert,S1-82801,26,74.79,1944.54,2014-03-11 02:49:11,bronze
527,642753,Pollich LLC,S2-77896,13,48.14,625.82,2014-03-11 06:19:26,bronze
528,218895,Kulas Inc,B1-33364,17,93.01,1581.17,2014-03-11 08:20:57,bronze
529,307599,"Kassulke, Ondricka and Metz",S1-50961,28,34.87,976.36,2014-03-11 10:49:24,bronze
530,146832,Kiehn-Spinka,S1-93683,17,10.63,180.71,2014-03-11 12:43:03,silver
531,383080,Will LLC,S1-82801,3,77.06,231.18,2014-03-11 16:38:10,bronze
532,672390,Kuhn-Gusikowski,B1-38851,44,48.69,2142.36,2014-03-12 01:09:55,silver
533,307599,"Kassulke, Ondricka and Metz",S2-82423,5,18.88,94.4,2014-03-12 05:21:53,bronze
534,257198,"Cronin, Oberbrunner and Spencer",S1-93683,34,79.57,2705.38,2014-03-12 08:58:47,gold
535,729833,Koepp Ltd,B1-38851,2,61.18,122.36,2014-03-13 08:21:57,silver
536,146832,Kiehn-Spinka,S2-77896,1,96.07,96.07,2014-03-13 09:41:36,silver
537,239344,Stokes LLC,B1-38851,27,50.42,1361.34,2014-03-13 11:54:58,gold
538,672390,Kuhn-Gusikowski,S1-93683,5,95.4,477.0,2014-03-14 00:19:31,silver
539,412290,Jerde-Hilpert,S2-10342,13,70.43,915.59,2014-03-14 10:04:49,bronze
540,714466,Trantow-Barrows,B1-33087,43,32.77,1409.11,2014-03-14 12:47:48,silver
541,604255,"Halvorson, Crona and Champlin",S1-47412,27,25.69,693.63,2014-03-14 16:01:34,bronze
542,672390,Kuhn-Gusikowski,S1-47412,11,75.08,825.88,2014-03-14 16:15:23,silver
543,786968,"Frami, Hills and Schmidt",B1-33087,27,84.05,2269.35,2014-03-14 22:57:04,silver
544,146832,Kiehn-Spinka,S2-78676,26,42.67,1109.42,2014-03-14 23:19:26,silver
545,239344,Stokes LLC,B1-20000,32,14.0,448.0,2014-03-15 02:48:09,gold
546,146832,Kiehn-Spinka,B1-20000,41,98.48,4037.68,2014-03-15 12:28:14,silver
547,688981,Keeling LLC,B1-86481,27,84.31,2276.37,2014-03-15 15:21:38,silver
548,740150,Barton LLC,B1-20000,20,73.93,1478.6,2014-03-15 18:21:23,gold
549,141962,Herman LLC,S1-47412,38,36.67,1393.46,2014-03-16 12:33:23,gold
550,672390,Kuhn-Gusikowski,S1-93683,36,59.16,2129.76,2014-03-16 13:04:43,silver
551,163416,Purdy-Kunde,S2-78676,6,16.89,101.34,2014-03-16 22:32:07,bronze
552,740150,Barton LLC,S2-83881,12,22.62,271.44,2014-03-17 02:39:33,gold
553,383080,Will LLC,S1-50961,22,76.82,1690.04,2014-03-17 05:49:07,bronze
554,163416,Purdy-Kunde,S1-47412,45,35.11,1579.95,2014-03-17 07:18:13,bronze
555,714466,Trantow-Barrows,S2-16558,20,78.23,1564.6,2014-03-17 09:03:19,silver
556,257198,"Cronin, Oberbrunner and Spencer",S1-82801,22,12.01,264.22,2014-03-17 10:05:43,gold
557,146832,Kiehn-Spinka,S1-47412,13,81.92,1064.96,2014-03-17 10:29:26,silver
558,672390,Kuhn-Gusikowski,B1-20000,30,89.37,2681.1,2014-03-17 19:59:27,silver
559,412290,Jerde-Hilpert,B1-65551,32,64.37,2059.84,2014-03-17 22:14:01,bronze
560,412290,Jerde-Hilpert,B1-65551,11,50.79,558.69,2014-03-18 07:22:45,bronze
561,786968,"Frami, Hills and Schmidt",B1-04202,30,29.22,876.6,2014-03-18 15:01:17,silver
562,163416,Purdy-Kunde,S2-00301,10,28.81,288.1,2014-03-18 19:43:52,bronze
563,218895,Kulas Inc,S2-78676,26,89.38,2323.88,2014-03-19 00:07:04,bronze
564,239344,Stokes LLC,B1-53636,34,51.3,1744.2,2014-03-19 04:03:32,gold
565,307599,"Kassulke, Ondricka and Metz",S2-83881,45,88.54,3984.3,2014-03-19 12:50:41,bronze
566,146832,Kiehn-Spinka,B1-33087,20,16.28,325.6,2014-03-20 02:53:47,silver
567,218895,Kulas Inc,S1-06532,12,99.3,1191.6,2014-03-20 09:49:19,bronze
568,604255,"Halvorson, Crona and Champlin",S2-78676,25,42.08,1052.0,2014-03-20 19:43:21,bronze
569,527099,Sanford and Sons,S1-27722,34,69.76,2371.84,2014-03-21 03:36:29,bronze
570,604255,"Halvorson, Crona and Champlin",B1-33087,28,61.35,1717.8,2014-03-21 05:41:09,bronze
571,672390,Kuhn-Gusikowski,B1-86481,44,12.48,549.12,2014-03-21 05:49:17,silver
572,688981,Keeling LLC,S2-34077,49,91.8,4498.2,2014-03-21 19:20:17,silver
573,604255,"Halvorson, Crona and Champlin",S2-00301,35,24.33,851.55,2014-03-21 20:12:32,bronze
574,688981,Keeling LLC,S1-30248,10,88.76,887.6,2014-03-22 08:57:21,silver
